Sentence #,Word,Tag
1,ආසියානු,LOCATION
1,ක්‍රිකට්,OTHER
1,ශුර,OTHER
1,ශ්‍රී,OTHER
1,ලංකා,OTHER
1,කණ්ඩායම,OTHER
1,සහ,OTHER
1,සත්කාරක,OTHER
1,ඉන්දීය,LOCATION
1,කණ්ඩායම,OTHER
1,අතර,OTHER
1,20/20,OTHER
1,ක්‍රිකට්,OTHER
1,තරගාවලියේ,OTHER
1,3,OTHER
1,වැනි,OTHER
1,සහ,OTHER
1,අවසන්,OTHER
1,20/20,OTHER
1,ක්‍රිකට්,OTHER
1,තරගය,OTHER
1,ලකුණු,OTHER
1,91කින්,OTHER
1,ජයගනිමින්,OTHER
1,ඉන්දියාව,LOCATION
1,තරගාවලියේ,OTHER
1,ජය,OTHER
1,හිමි,OTHER
1,කර,OTHER
1,ගනු,OTHER
1,ලැබීය.,OTHER
2,රාජ්කොට්,OTHER
2,සෞරාෂ්ට්‍ර,OTHER
2,ක්‍රිකට්,OTHER
2,සංගම්,OTHER
2,ක්‍රීඩාංගණයේදී,OTHER
2,තරගය,OTHER
2,පැවැත්විණි.,OTHER
3,තරගයේ,OTHER
3,කාසියේ,OTHER
3,වාසිය,OTHER
3,දිනූ,OTHER
3,ඉන්දීය,LOCATION
3,කණ්ඩායමේ,OTHER
3,නායක,OTHER
3,හර්දික්,OTHER
3,පාණ්ඩ්‍යා,OTHER
3,පළමුව,OTHER
3,පන්දුවට,OTHER
3,පහරදීමට,OTHER
3,තීරණය,OTHER
3,කළේය.,OTHER
4,ඒ,OTHER
4,අනුව,OTHER
4,ඉන්දීය,LOCATION
4,කණ්ඩායම,OTHER
4,විසින්,OTHER
4,නියමිත,OTHER
4,පන්දුවාර,OTHER
4,20,OTHER
4,අවසානයේ,OTHER
4,කඩුලු,OTHER
4,5ක්,OTHER
4,දැවී,OTHER
4,ශ්‍රී,OTHER
4,ලංකාවට,OTHER
4,ලකණු,OTHER
4,229ක,OTHER
4,දැවැන්ත,OTHER
4,ඉලක්කයක්,OTHER
4,ලබා,OTHER
4,දෙනු,OTHER
4,ලැබීය.,OTHER
5,ඉන්දීය,LOCATION
5,පිතිකරු,OTHER
5,බලකායේ,OTHER
5,දක්ෂ,OTHER
5,පිතිකරුවෙකු,OTHER
5,වන,OTHER
5,සූර්යකුමාර්,OTHER
5,යාදව්,OTHER
5,විශිෂ්ට,OTHER
5,පිති,OTHER
5,හරඹයක,OTHER
5,නිරත,OTHER
5,වූ,OTHER
5,අතර,OTHER
5,පන්දු,OTHER
5,51කින්,OTHER
5,නොදැවී,OTHER
5,ලකුණු,OTHER
5,112ක්,OTHER
5,රැස්කිරීමට,OTHER
5,ඔහු,OTHER
5,සමත්විය.,OTHER
6,සූර්යකුමාර්,OTHER
6,යාද්ව්ගේ,OTHER
6,ප්‍රහාරක,OTHER
6,වේගය,OTHER
6,219.60,OTHER
6,ක්,OTHER
6,ලෙස,OTHER
6,වාර්තා,OTHER
6,විය.,OTHER
7,ශුබ්මන්,OTHER
7,ගිල්,OTHER
7,ද,OTHER
7,පන්දු,OTHER
7,36කින්,OTHER
7,වේගවත්,OTHER
7,ලකණු,OTHER
7,46ක්,OTHER
7,රැස්,OTHER
7,කළේය.,OTHER
8,පිළිතුරු,OTHER
8,ඉනිම,OTHER
8,ක්‍රීඩා,OTHER
8,කළ,OTHER
8,ශ්‍රී,OTHER
8,ලංකා,OTHER
8,කණ්ඩායමේ,OTHER
8,ආරම්භක,OTHER
8,පිතිකරුවන්,OTHER
8,වන,OTHER
8,පැතුම්,OTHER
8,නිශ්ශංක,OTHER
8,සහ,OTHER
8,කුසල්,OTHER
8,මෙන්ඩිස්,OTHER
8,තරගයට,OTHER
8,මනා,OTHER
8,ආරම්භයක්,OTHER
8,ලබා,OTHER
8,දීමට,OTHER
8,උත්සහ,OTHER
8,කළත්,OTHER
8,ඔවුන්ට,OTHER
8,සාර්ථක,OTHER
8,වීම,OTHER
8,ඉන්දීය,LOCATION
8,පන්දු,OTHER
8,යවන්නන්ගේ,OTHER
8,බල,OTHER
8,ඇණියෙන්,OTHER
8,ඉඩක්,OTHER
8,නොවීය.,OTHER
9,ලකුණු,OTHER
9,229,OTHER
9,ක,OTHER
9,ඉලක්කයක්,OTHER
9,හඹා,OTHER
9,ගිය,OTHER
9,ශ්‍රී,OTHER
9,ලංකා,OTHER
9,කණ්ඩායමේ,OTHER
9,කිසිදු,OTHER
9,පිතිකරුවෙකුට,OTHER
9,ලකුණු,OTHER
9,23,OTHER
9,සීමාව,OTHER
9,පසු,OTHER
9,කිරීමට,OTHER
9,ඉන්දීය,LOCATION
9,පන්දු,OTHER
9,යවන්නන්ගෙන්,OTHER
9,ඉඩක්,OTHER
9,නොවීය.,OTHER
10,කුසල්,OTHER
10,මෙන්ඩිස්,OTHER
10,සහ,OTHER
10,නායක,OTHER
